Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,
C1,0805,1,1u,
"C10, C12, C2, C3, C4, C8",0805,6,0.1u,
C5,CP_Radial_D5.0mm_P2.00mm,1,10u,
"C6, C9",1210,2,10u,
C7,0805,1,22u,
J1,JST_VH_B3P-VH_1x03_P3.96mm_Vertical,1,VH_3B,
J10,JST_ZH_S03B,1,ZH_3B,
J2,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,SH_6B,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,XH_2B,
J6,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,1,ZH_2B,
"J7, J8",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,PH_2B,
J9,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,PH_3B,
PHOTO1,0603,1,LED,
POWER1,0603,1,OSHR1608,
"R1, R4",0805,2,47k,
R2,0805,1,5.1k,
"R3, R5",0805,2,10k,
R7,0805,1,220,
R8,0805,1,75,
R9,0805,1,540,
STATUS1,0603,1,OSYG1608,
U1,WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,1,DRV8311HRRWR,
U2,ESP32-WROOM-32UE,1,ESP32-WROOM-E,
U3,SO-8_3.9x4.9mm_P1.27mm,1,TJA1441AT,
U4,SOT-223-3_TabPin2,1,AZ1117-3.3,
